item,itemLabel,ISO639_1,ISO639_2,ISO639_3,country,countryLabel
http://www.wikidata.org/entity/Q7411,Dutch,nl,dut,nld,http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q7838,Swahili,sw,swa,swa,http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q7838,Swahili,sw,swa,swa,http://www.wikidata.org/entity/Q1037,Rwanda
http://www.wikidata.org/entity/Q7930,Malagasy,mg,mlg,mlg,http://www.wikidata.org/entity/Q1019,Madagascar
http://www.wikidata.org/entity/Q13275,Somali,so,som,som,http://www.wikidata.org/entity/Q1045,Somalia
http://www.wikidata.org/entity/Q13955,Arabic,ar,ara,ara,http://www.wikidata.org/entity/Q977,Djibouti
http://www.wikidata.org/entity/Q13955,Arabic,ar,ara,ara,http://www.wikidata.org/entity/Q986,Eritrea
http://www.wikidata.org/entity/Q13955,Arabic,ar,ara,ara,http://www.wikidata.org/entity/Q1016,Libya
http://www.wikidata.org/entity/Q13955,Arabic,ar,ara,ara,http://www.wikidata.org/entity/Q1025,Mauritania
http://www.wikidata.org/entity/Q13955,Arabic,ar,ara,ara,http://www.wikidata.org/entity/Q1028,Morocco
http://www.wikidata.org/entity/Q13955,Arabic,ar,ara,ara,http://www.wikidata.org/entity/Q1045,Somalia
http://www.wikidata.org/entity/Q13955,Arabic,ar,ara,ara,http://www.wikidata.org/entity/Q1049,Sudan
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q971,Republic of the Congo
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q977,Djibouti
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q983,Equatorial Guinea
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q1000,Gabon
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q1006,Guinea
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q1008,Ivory Coast
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q1009,Cameroon
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q1019,Madagascar
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q1027,Mauritius
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q1032,Niger
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q1037,Rwanda
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q1041,Senegal
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q1042,Seychelles
http://www.wikidata.org/entity/Q33273,Chewa,ny,nya,nya,http://www.wikidata.org/entity/Q1020,Malawi
http://www.wikidata.org/entity/Q33573,Kinyarwanda,rw,kin,kin,http://www.wikidata.org/entity/Q1037,Rwanda
http://www.wikidata.org/entity/Q34014,Swazi,ss,ssw,ssw,http://www.wikidata.org/entity/Q1050,Eswatini
http://www.wikidata.org/entity/Q34015,Seychellois Creole,,,crs,http://www.wikidata.org/entity/Q1042,Seychelles
http://www.wikidata.org/entity/Q34124,Tigrinya,ti,tir,tir,http://www.wikidata.org/entity/Q986,Eritrea
http://www.wikidata.org/entity/Q34257,Wolof,wo,wol,wol,http://www.wikidata.org/entity/Q1041,Senegal
http://www.wikidata.org/entity/Q34340,Sesotho,st,sot,sot,http://www.wikidata.org/entity/Q1013,Lesotho
http://www.wikidata.org/entity/Q35095,Badyara,,,pbp,http://www.wikidata.org/entity/Q1041,Senegal
http://www.wikidata.org/entity/Q35744,Krio,,,kri,http://www.wikidata.org/entity/Q1044,Sierra Leone
http://www.wikidata.org/entity/Q35963,Cape Verdean Creole,,,kea,http://www.wikidata.org/entity/Q1011,Cape Verde
http://www.wikidata.org/entity/Q2524014,Bajan Creole,,,bjs,http://www.wikidata.org/entity/Q244,Barbados
http://www.wikidata.org/entity/Q256,Turkish,tr,tur,tur,http://www.wikidata.org/entity/Q43,Turkey
http://www.wikidata.org/entity/Q256,Turkish,tr,tur,tur,http://www.wikidata.org/entity/Q229,Cyprus
http://www.wikidata.org/entity/Q294,Icelandic,is,isl,isl,http://www.wikidata.org/entity/Q189,Iceland
http://www.wikidata.org/entity/Q652,Italian,it,ita,ita,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q652,Italian,it,ita,ita,http://www.wikidata.org/entity/Q39,Switzerland
